name,price,link,glass_image,try_on_image
Uriah,$19.95,https://www.glassesshop.com/eyeglasses/fm1308,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201810/5bbc4f033d516.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201810/5bbc4f033bd30.jpg"
Rosemary,$29.95,https://www.glassesshop.com/eyeglasses/sup0755,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202001/5e0eb45f026a5.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202004/01001215_87740.jpg"
Plains,$24.95,https://www.glassesshop.com/eyeglasses/fp2026,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201911/5dbfecc57f5b9.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201911/5dbfecc6cea99.jpg"
Cooksville,$24.95,https://www.glassesshop.com/eyeglasses/fp1566,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201803/5ab495953edf7.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201803/5ab495901f4b8.jpg"
Holt,$19.95,https://www.glassesshop.com/eyeglasses/fp1401,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201708/59841308cc508.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201708/59841304b0c21.jpg"
Dubois,$49.95,https://www.glassesshop.com/eyeglasses/ft0325,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201908/5d4d18048e8bd.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201908/5d4d180244e07.jpg"
Alturas,$29.95,https://www.glassesshop.com/eyeglasses/fm1417,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e377f4d9cb97.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e377f4f16e51.jpg"
Annapolis,$29.95,https://www.glassesshop.com/eyeglasses/sup0784,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202001/5e0eb61ac3537.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202008/5f4763c462653.jpg"
Kelowna,$19.95,https://www.glassesshop.com/eyeglasses/fp1411,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201710/59e4598958f4c.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201710/59e45984a5749.jpg"
Hayden,$24.95,https://www.glassesshop.com/eyeglasses/fp1239,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201611/582e611cecfb5.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201611/582e611cec25d.jpg"
Kerlins,$29.95,https://www.glassesshop.com/eyeglasses/sup0658,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201905/5ccf9668d1b8c.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201905/5ccf9668cd9d2.jpg"
Mobile,$39.95,https://www.glassesshop.com/eyeglasses/ft0360,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e377f9ccb097.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e377f9e37951.jpg"
Yvette,$29.95,https://www.glassesshop.com/eyeglasses/sup0782,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202001/5e0eb60c54fcf.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202008/5f4763c18693d.jpg"
Spender,$19.95,https://www.glassesshop.com/eyeglasses/sup0633,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201904/5cc806c8322f4.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201904/5cc806c82c5fc.jpg"
Persol,$19.95,https://www.glassesshop.com/eyeglasses/fp1859,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201904/5cc16d554bf7c.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201909/06052935_95263.jpg"
Averies,$19.95,https://www.glassesshop.com/eyeglasses/fp1829,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201904/5cb69b422b034.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201904/5cb69b4227d82.jpg"
Broderick,$29.95,https://www.glassesshop.com/eyeglasses/sm0878,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201901/5c3403882645e.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201901/5c34038824f83.jpg"
Novia,$19.95,https://www.glassesshop.com/eyeglasses/fp1697,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201805/5b03beaa13479.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201805/5b03bea8aaeea.jpg"
BowlingGreen,$29.95,https://www.glassesshop.com/eyeglasses/fp0917,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201709/59c9aad199397.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201709/59c9aaccb914e.jpg"
Watertown,$19.95,https://www.glassesshop.com/eyeglasses/fp1805,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201903/5c99cd4246eda.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201903/5c99cd4245ab6.jpg"
Nicole,$19.95,https://www.glassesshop.com/eyeglasses/fz1084,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201710/59e01c2d210b5.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201710/59e01c2847900.jpg"
Robben,$39.95,https://www.glassesshop.com/eyeglasses/ft0242,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201810/5bbc4f036842a.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201810/5bbc4f0366c54.jpg"
Warren,$44.95,https://www.glassesshop.com/eyeglasses/ft0355,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201911/5dbfed242069f.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202003/5e818fc34584f.jpg"
Hearst,$64.95,https://www.glassesshop.com/eyeglasses/ft0265,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201905/5cdccc2f0a37d.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201905/5cdccc2f069f3.jpg"
Zoe,$19.95,https://www.glassesshop.com/eyeglasses/fp1456,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201909/5d8d74c323898.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201909/5d8d74bf4eb97.jpg"
Ventura,$44.95,https://www.glassesshop.com/eyeglasses/fz1407,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e377fd1a54db.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e377fd31769a.jpg"
Brentwood,$24.95,https://www.glassesshop.com/eyeglasses/fp1975,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201910/5da92cdf68fb3.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201910/5da92cdb3ea18.jpg"
Bloor,$12.95,https://www.glassesshop.com/eyeglasses/fp1918,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201908/5d4d18e5deb94.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201908/5d4d18e23ef60.jpg"
